run_id,phase,stage,dataset,model,variant,seed,split_manifest,config_path,git_commit,status,started_at,completed_at,primary_metric,primary_metric_value,checkpoint_path,predictions_path,metrics_path,notes
phase05_hierarchical_internal_test_seed42,phase05,hierarchical_end_to_end,isic2019,efficientnet_b0_stage1+efficientnet_b0_stage2,ce_gate+class_balanced_focal_subtype,42,data/manifests/isic2019_train_val_test_split_seed42.csv,configs/evaluation/phase05_hierarchical_internal_test.yaml,08b7604,completed_locked,2026-07-26T20:50:24Z,2026-07-26T20:51:10Z,predicted_gate_four_class_macro_f1,0.6053674005561019,stage1_sha256=95e02c26b1ea4a0dba17016313c81f97c9c2635270a37b4debbee0f84e07ba3b | stage2_sha256=10986d41b64a685fcd8fe166623c5b1c7fd2f21bdad7cf4d55dedc3967a397fd,runs/phase05_hierarchical_internal_test/locked_primary_evaluation/per_image_hierarchical_predictions.csv,runs/phase05_hierarchical_internal_test/locked_primary_evaluation/hierarchical_metrics.json,One-time locked internal test; oracle macro-F1 0.7936564676; routing macro-F1 loss 0.1882890670; Stage 2 predicted execution rate 42.09%; attempt 1 failed before metrics due AMP dtype mismatch and was preserved; recovery changed no model or protocol.
phase06_flat_four_class_clean_ce_seed42,phase06,flat_four_class,isic2019,efficientnet_b0,cross_entropy,42,data/manifests/isic2019_train_val_test_split_seed42.csv,configs/experiments/phase06_flat_four_class_isic2019_efficientnet_b0_cross_entropy.yaml,,completed_validation,,,validation_macro_f1,0.6535716654,runs/phase06_full/full__phase06_flat_four_class_isic2019_efficientnet_b0_cross_entropy_seed42__20260726T232308Z/best_checkpoint.pt,,,Selected for Phase 06C=true; validation-only macro-F1 selection; balanced accuracy=0.6796986150; accuracy=0.7729007634; weighted F1=0.7806549873; SCC F1=0.3870967742; best epoch=2; completed/configured epochs=9/30; early stopped=true; checkpoint SHA-256=f3d8b8b0e5ef42e3c287a2377b5570411d442246acd16cb874ccf903facdc7a7; internal test accessed=true through locked Phase 06C evaluation; Phase 06C run id=phase06c_selected_flat_internal_test_seed42; one-time protocol consumed=true; no rerun allowed.
phase06b_flat_four_class_cb_focal_seed42,phase06b,flat_four_class,isic2019,efficientnet_b0,class_balanced_focal_beta0.9999_gamma2.0,42,data/manifests/isic2019_train_val_test_split_seed42.csv,configs/experiments/phase06b_flat_four_class_isic2019_efficientnet_b0_class_balanced_focal_loss.yaml,,completed_validation,,2026-07-27T12:34:27Z,validation_macro_f1,0.6490067298,runs/phase06b/full/full__phase06b_flat_four_class_isic2019_efficientnet_b0_class_balanced_focal_loss_seed42__20260727T120615Z/best_checkpoint.pt,,,Full result reportable=true; candidate rejected by validation selection; selected for Phase 06C=false; balanced accuracy=0.6793461931; accuracy=0.7570883315; weighted F1=0.7671360749; SCC F1=0.4302325581; best epoch=11; completed/configured epochs=18/30; early stopped=true; checkpoint SHA-256=07586d515cd9378e05831ca542f391e32b3b7a6c669c7dd83ce1df219b2af015; backup=runs/backups/phase06b/phase06b_cb_focal_training_backup_verified_20260727T123825Z.tar.gz; backup SHA-256=bbaf3f385a2acf2c028243a1e1f73a2b0b5e0914e46bb803ce0e79b4de909f8b; clean CE macro-F1 higher by 0.0045649356; internal test accessed=false.
phase06c_selected_flat_internal_test_seed42,phase06c,flat_four_class_internal_test,isic2019,efficientnet_b0,selected_clean_ce_locked_once,42,data/manifests/isic2019_train_val_test_split_seed42.csv,configs/evaluation/phase06c_selected_flat_internal_test.yaml,550e7cd,completed_locked,2026-07-27T15:22:59Z,2026-07-27T15:34:03Z,internal_test_macro_f1,0.6192224685168973,runs/phase06_full/full__phase06_flat_four_class_isic2019_efficientnet_b0_cross_entropy_seed42__20260726T232308Z/best_checkpoint.pt,runs/phase06c/selected_flat_internal_test/locked_primary_evaluation/internal_test_predictions.csv,runs/phase06c/selected_flat_internal_test/locked_primary_evaluation/internal_test_metrics.json,One-time validation-selected internal-test evaluation; protocol consumed=true; rerun allowed=false; sample count=3668; accuracy=0.7420937841; balanced accuracy=0.6503125394; weighted F1=0.7525567214; mean loss=0.6232672186; checkpoint epoch=2; checkpoint SHA-256=f3d8b8b0e5ef42e3c287a2377b5570411d442246acd16cb874ccf903facdc7a7; archive=runs/backups/phase06c/phase06c_selected_flat_internal_test_550e7cdb1144.tar.gz; archive SHA-256=b76762b53a35a8d9b0aa96621d78ea0e4421aa6e8052d068ffc10648a4e63e91; local backup verified=true; Phase 05 hierarchical macro-F1=0.6053674006; flat minus hierarchy macro-F1=0.0138550680; descriptive single-seed comparison; no significance claim.
phase07_iccit_evidence_closure,phase07,evidence_consolidation,isic2019,flat_vs_conditional_hierarchy,paired_stored_prediction_analysis,42,data/manifests/isic2019_train_val_test_split_seed42.csv,configs/analysis/phase07_paired_model_comparison.yaml,,completed_locked,,,flat_minus_hierarchical_macro_f1,0.013855067960795386,,reports/phase07/generated/paired_prediction_manifest.csv,reports/phase07/generated/statistical_analysis_results.json,"Pairing passed; protocol and linear quantile frozen pre-execution; paired CI [-0.0142546488,0.0419633760] included zero; McNemar p=0.8207415883; claims locked; efficiency audited; three required paper figures complete; both internal-test protocols consumed; rerun permitted=false; Phase 07 closure merged before Phase 08; evidence remains locked."
phase08_scope_evidence_audit,phase08,governance,repository,none,scope_deviation_evidence_completeness_audit,42,,,16bf94a,completed,,,,,,,,Documentation and deterministic repository-metadata audit completed; original three-stage scope retained; existing Phase 05-07 evidence remains locked; no training inference evaluation dataset download or Azure work performed; full local suite 192 passed; Phase 08 targeted tests 4 passed.
phase09_emb_feasibility_audit,phase09,stage03_data_audit,emb,none,license_integrity_label_semantics_and_split_protocol,42,,,,protocol_pending,,,,,,,,Acquisition is not authorized until source license and protocol are approved; T-category preferred and Breslow grouping is fallback only.
phase10_stage03_standalone_baseline,phase10,stage03,emb,efficientnet_b0,standalone_severity_feasibility_baseline,42,,,,blocked,,,,,,,,Blocked by Phase 09 feasibility gate; target split loss seed count and acceptance thresholds remain protocol pending.
phase11_three_task_sharing_ablation,phase11,multitask,isic2019+emb,shared_efficientnet_b0,full_vs_partial_encoder_sharing_with_masked_losses,42,,,,blocked,,,,,,,,Blocked by successful Phase 10 gate; validation-only selection between full and partial sharing.
phase11_final_three_stage_evaluation,phase11,hierarchical_end_to_end,isic2019+emb,selected_three_task_model,frozen_conditional_three_stage_evaluation,42,,,,blocked,,,,,,,,Blocked by Phase 11 validation selection and a frozen one-time evaluation protocol.
